Intersection,Agglomération,Catégorie de route,Aménagement - Infrastructure,Voie,V1,Régime de circulation,Nombre total de voies de circulation,PR,PR1,Voie spéciale,Profil en long,Tracé en plan,Latitude,Longitude,Numac,Code Insee,Geofla Match,Coordonnées
Hors intersection,1,Voie Communale,0,0,0,3,2,,,Bande cyclable,1,Partie rectiligne,,,414744,59512,O,50.6879774811
Intersection en T,1,Voie Communale,0,0,0,2,2,,,0,1,Partie rectiligne,,,414745,59512,O,50.6879774811
Intersection en T,1,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,414833,59650,O,50.7056367285
Intersection en X,1,Route Départementale,0,0,,0,2,,,0,1,1,,,414901,59317,O,50.6841292085
Hors intersection,8,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,324136,59350,O,50.6317183168
Hors intersection,5,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,324143,59636,O,50.6957054596
Hors intersection,6,Voie Communale,0,0,,2,2,,,0,2,Partie rectiligne,,,324170,59378,O,50.6753348557
Hors intersection,3,Route Départementale,0,0,,2,2,,,0,1,Partie rectiligne,,,324176,59196,O,50.640484704
Hors intersection,3,Route Départementale,0,0,,2,2,,,0,1,Partie rectiligne,,,324205,59437,O,50.5729280386
Giratoire,5,Voie Communale,0,0,,1,2,,,0,1,En courbe à gauche,,,324226,59646,O,50.6750984751
Hors intersection,1,Parc de stationnement ouvert à la circulation publique,0,0,,1,1,,,0,1,En courbe à gauche,,,324247,59646,O,50.6750984751
Hors intersection,5,Voie Communale,0,0,,2,2,,,0,1,Partie rectiligne,,,324250,59367,O,50.6721775091
