Type de Collision,Condition atmosphérique,Lumière,Situation de l’accident,Nombre de personnes tuées dans l'accident,Nombre de blessés hospitalisés (blessés graves) dans l'accident,Nombre de blessés légers dans l'accident,Nombre de personnes indemnes dans l'accident,Type numero,Numero,Distance metre,Libelle voie,Indice de gravité de l'accident,Nombre impliques,Organisme
6,Normale,Plein jour,1,0,1,0,1,1,2,0,THIERS  (RUE),10.8,2,5
6,Normale,Plein jour,5,0,1,0,1,1,43,0,ISLY RUE,10.8,2,5
6,Normale,Plein jour,1,0,1,0,1,1,,0,MARQUETTE RUE DE,10.8,2,5
2,Pluie légère,Plein jour,1,0,1,0,1,2,1,0,MONTESQUIEU (BOULEVARD),10.8,2,5
6,Pluie légère,Nuit avec éclairage public allumé,1,0,1,0,1,2,1,0,GARE (RUE DE LA),10.8,2,5
1,Normale,Plein jour,1,0,1,0,0,2,1,0,POTENTE (RUE DE LA),10.8,1,5
3,Normale,Nuit avec éclairage public allumé,1,0,1,0,1,1,179,0,LILLE (RUE DE),10.8,2,5
6,Normale,Nuit avec éclairage public allumé,1,0,1,1,1,1,54,0,FAIDHERBE (BD ),11.23,3,5
1,Pluie légère,Plein jour,1,0,1,2,0,9,0,0,YSER RUE DE L,11.66,3,5
3,Normale,Plein jour,1,0,1,2,1,2,,0,VERTUQUET (RUE DU),11.66,4,5
7,Neige - grêle,Nuit sans éclairage public,3,0,1,1,0,,,,,11.23,2,3
3,Normale,Plein jour,1,0,1,1,0,2,1,0,FLANDRE (AVENUE DE),11.23,2,5
3,Temps couvert,Plein jour,1,0,1,1,1,1,1777,0,NATIONALE  ( ROUTE),11.23,3,5
6,Pluie légère,Plein jour,1,0,1,1,1,9,0,0,GUISE CHEMIN DE L'ARBRE DE,11.23,3,5
3,Normale,Plein jour,1,0,1,1,0,2,1,0,HOMMELET (RUE DE L'),11.23,2,5
6,Normale,Plein jour,4,0,1,1,0,1,215,0,FOCH RUE DU MARECHAL,11.23,2,5
3,Normale,Plein jour,0,0,1,1,1,1,56442,0,ROUTE DEPARTEMENTALE 945,11.23,3,5
6,Normale,Plein jour,1,0,1,1,1,1,0,0,FOCH AVENUE N°1-137,11.23,3,5
4,Normale,Plein jour,1,0,1,1,1,,,,,11.23,3,1
6,Normale,Plein jour,1,0,2,0,1,2,1,0,NATIONS UNIES (AVENUE DES),21.6,3,5
1,Pluie légère,Nuit sans éclairage public,5,0,2,0,0,,,,,21.6,2,1
